col2	long1	lat1	col3	long2	lat2	distance
Basse	-14.219973	13.311182	DongoroBa	-15.294932	13.379913	117
Basse	-14.219973	13.311182	SareSeedy	-15.099018	13.74713	107
Basse	-14.219973	13.311182	Njayel	-14.023212	13.33612	21
Basse	-14.219973	13.311182	SareWuro	-14.056502	13.543971	31
Basse	-14.219973	13.311182	Basse	-14.219973	13.311182	0
Basse	-14.219973	13.311182	Velingara	-14.107776	13.146263	22
Basse	-14.219973	13.311182	Farafenni	-15.597754	13.572898	152
Basse	-14.219973	13.311182	Serrekunda	-16.685126	13.440287	267
Velingara	-14.107776	13.146263	Brikama	-16.642965	13.274707	275
Velingara	-14.107776	13.146263	Thies	-16.92566	14.791345	355
Velingara	-14.107776	13.146263	Bounkiling	-15.698502	13.039072	173
Velingara	-14.107776	13.146263	Besse	-16.36199	13.195759	244
Velingara	-14.107776	13.146263	Chogen	-16.008846	13.584186	211
Velingara	-14.107776	13.146263	DongoroBa	-15.294932	13.379913	131
Velingara	-14.107776	13.146263	SareSeedy	-15.099018	13.74713	126
Velingara	-14.107776	13.146263	Njayel	-14.023212	13.33612	23
Velingara	-14.107776	13.146263	SareWuro	-14.056502	13.543971	45
Velingara	-14.107776	13.146263	Basse	-14.219973	13.311182	22
Velingara	-14.107776	13.146263	Velingara	-14.107776	13.146263	0
Velingara	-14.107776	13.146263	Farafenni	-15.597754	13.572898	168
Velingara	-14.107776	13.146263	Serrekunda	-16.685126	13.440287	281
Farafenni	-15.597754	13.572898	Brikama	-16.642965	13.274707	118
Farafenni	-15.597754	13.572898	Thies	-16.92566	14.791345	197
Farafenni	-15.597754	13.572898	Bounkiling	-15.698502	13.039072	60
Farafenni	-15.597754	13.572898	Besse	-16.36199	13.195759	93
Farafenni	-15.597754	13.572898	Chogen	-16.008846	13.584186	44
Farafenni	-15.597754	13.572898	DongoroBa	-15.294932	13.379913	39
Farafenni	-15.597754	13.572898	SareSeedy	-15.099018	13.74713	57
Farafenni	-15.597754	13.572898	Njayel	-14.023212	13.33612	172
Farafenni	-15.597754	13.572898	SareWuro	-14.056502	13.543971	167
Farafenni	-15.597754	13.572898	Basse	-14.219973	13.311182	152
Farafenni	-15.597754	13.572898	Velingara	-14.107776	13.146263	168
Farafenni	-15.597754	13.572898	Farafenni	-15.597754	13.572898	0
Farafenni	-15.597754	13.572898	Serrekunda	-16.685126	13.440287	118
Serrekunda	-16.685126	13.440287	Brikama	-16.642965	13.274707	19
Serrekunda	-16.685126	13.440287	Thies	-16.92566	14.791345	152
Serrekunda	-16.685126	13.440287	Bounkiling	-15.698502	13.039072	116
Serrekunda	-16.685126	13.440287	Besse	-16.36199	13.195759	44
Serrekunda	-16.685126	13.440287	Chogen	-16.008846	13.584186	75
Serrekunda	-16.685126	13.440287	DongoroBa	-15.294932	13.379913	150
Serrekunda	-16.685126	13.440287	SareSeedy	-15.099018	13.74713	175
Serrekunda	-16.685126	13.440287	Njayel	-14.023212	13.33612	288
Serrekunda	-16.685126	13.440287	SareWuro	-14.056502	13.543971	284
Serrekunda	-16.685126	13.440287	Basse	-14.219973	13.311182	267
Serrekunda	-16.685126	13.440287	Velingara	-14.107776	13.146263	281
Serrekunda	-16.685126	13.440287	Farafenni	-15.597754	13.572898	118
Serrekunda	-16.685126	13.440287	Serrekunda	-16.685126	13.440287	0
Brikama	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Basse	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Farafenni	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Serrekunda	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Bounkiling	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Besse	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Chogen	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
DongoroBa	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Njayel	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
SareWuro	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Thies	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Velingara	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	2000
Cambodia	-16.642965	13.274707	Cambodia	104.74114518134401	12.501332059064081	0
Senegambia	-16.685126	13.440287	Senegambia	-16.685126	13.440287	0
